Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
1	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	tv_num	number of televisions	Numérique	
2	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	fixephone_num	number of land phones	Numérique	
3	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	mobphone_num	number of mobile phones	Numérique	
4	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	video_num	number of videos	Numérique	
5	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	ref_num	number of refrigerators	Numérique	
6	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	bic_num	number of bicycles	Numérique	
7	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	moto_num	number of motorcycles	Numérique	
8	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	auto_num	number of cars	Numérique	
9	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	big_ruminant_num	number of big ruminants (cattle, dromedary, camel)	Numérique	
10	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	small_ruminant_num	number of small ruminants (sheep, goat)	Numérique	
11	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	horse_num	number of horses and donkeys	Numérique	
12	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	pig_num	number of pigs	Numérique	
13	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	occ_status	Home ownership status of the household head	Catégorielle (codes)	1=owner | 2=co-owner | 3=tenant | 4=hosted | 99=Don't know or missing
14	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	Owner	Owner of the household’s house	Catégorielle (codes)	0=not concerned | 1=a parent in the household | 2=a parent outside the household | 3=another person in the household | 4=another person outside the household | 99=Don't know or missing
15	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	ownerid	ID of the owner of the house	Identifiant	
16	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	other_help	Help regularly received by the household	Catégorielle (codes)	1=Yes | 2=no | 99=Don't know or missing
17	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	help_nat_money	Help in terms of money	Catégorielle (codes)	1=Yes | 2=no | 99=Don't know or missing | 0=Not concerned
18	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	help_nat_food	Help in terms of food	Catégorielle (codes)	1=Yes | 2=no | 99=Don't know or missing | 0=Not concerned
19	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	help_nat_other	Other kind of help	Catégorielle (codes)	1=Yes | 2=no | 99=Don't know or missing | 0=Not concerned
